"","gndr","eisced","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"14171","Hombre","Formación Profesional",25,45,120,2,0.75,0,2,8,5
"14172","Mujer","Grado Universitario",32,50,480,8,0.83,0,5,6,4
"14173","Hombre","Máster/Doctorado",35,90,420,7,1.5,5,9,7,5
"14174","Hombre","Grado Universitario",35,NA,120,2,NA,2,6,8,5
"14175","Hombre","Formación Profesional",41,60,240,4,1,0,8,7,5
"14176","Mujer","Grado Universitario",25,60,180,3,1,1,5,10,5
"14177","Hombre","Máster/Doctorado",17,60,NA,NA,1,6,8,6,2
"14178","Mujer","Secundaria SUperior",54,60,NA,NA,1,0,5,4,2
"14179","Mujer","Grado Universitario",28,90,210,3.5,1.5,4,6,7,4
"14180","Hombre","Grado Universitario",71,210,420,7,3.5,2,8,8,4
"14181","Mujer","Bachiller",21,15,420,7,0.25,0,8,10,4
"14182","Mujer","Bachiller",19,120,361,6.02,2,4,8,8,5
"14183","Mujer","Bachiller",26,60,240,4,1,4,7,9,5
"14184","Mujer","Grado Universitario",60,135,390,6.5,2.25,0,8,7,4
"14185","Hombre","Formación Profesional",30,150,330,5.5,2.5,0,9,5,3
"14186","Mujer","Grado Universitario",35,330,840,14,5.5,0,9,10,3
"14187","Hombre","Máster/Doctorado",52,60,60,1,1,0,2,4,3
"14188","Hombre","Formación Profesional",31,150,200,3.33,2.5,2,2,4,5
"14189","Hombre","Grado Universitario",47,120,180,3,2,5,5,6,4
"14190","Mujer","Máster/Doctorado",55,119,1080,18,1.98,2,9,8,4
"14191","Hombre","Formación Profesional",81,150,270,4.5,2.5,6,9,9,5
"14192","Mujer","Grado Universitario",39,120,960,16,2,3,10,5,3
"14193","Mujer","Formación Profesional",40,60,720,12,1,0,8,7,4
"14194","Hombre","Formación Profesional",33,10,300,5,0.17,0,0,3,5
"14195","Hombre","Bachiller",27,45,540,9,0.75,1,10,9,5
"14196","Mujer","Bachiller",21,119,479,7.98,1.98,4,10,5,4
"14197","Mujer","Máster/Doctorado",59,120,120,2,2,7,8,6,3
"14198","Mujer",NA,59,30,1200,20,0.5,3,4,3,4
"14199","Mujer","Formación Profesional",20,1440,NA,NA,24,0,0,1,4
"14200","Hombre","Bachiller",52,NA,NA,NA,NA,0,10,6,4
"14201","Mujer","Secundaria SUperior",64,120,600,10,2,0,8,10,3
"14202","Hombre","Formación Profesional",72,240,240,4,4,2,8,7,4
"14203","Mujer","Máster/Doctorado",37,123,150,2.5,2.05,4,8,8,4
"14204","Hombre","Secundaria SUperior",22,120,240,4,2,1,7,3,4
"14205","Mujer","Formación Profesional",49,20,120,2,0.33,2,9,5,5
"14206","Mujer","Bachiller",19,120,300,5,2,0,4,7,4
"14207","Hombre","Secundaria SUperior",24,90,NA,NA,1.5,2,9,10,5
"14208","Mujer","Grado Universitario",30,60,180,3,1,0,0,5,5
"14209","Hombre","Grado Universitario",34,60,660,11,1,4,9,6,5
"14210","Mujer","Grado Universitario",63,180,300,5,3,5,10,10,5
"14211","Mujer","Grado Universitario",63,15,NA,NA,0.25,1,7,NA,3
"14212","Mujer","Formación Profesional",29,3,3,0.05,0.05,6,10,9,5
"14213","Hombre","Secundaria SUperior",34,5,240,4,0.08,0,7,7,4
"14214","Mujer","Bachiller",19,200,1440,24,3.33,5,8,10,5
"14215","Mujer","Primaria",57,1440,1410,23.5,24,5,8,5,5
"14216","Mujer","Grado Universitario",19,NA,NA,NA,NA,NA,NA,1,5
"14217",NA,NA,NA,80,NA,NA,1.33,6,7,5,5
"14218",NA,NA,NA,120,NA,NA,2,6,7,8,2
"14219","Hombre","Grado Universitario",36,60,720,12,1,0,10,8,4
"14220","Hombre","Formación Profesional",49,180,NA,NA,3,9,1,6,5
"14221","Mujer","Formación Profesional",86,120,270,4.5,2,3,10,8,4
"14222","Hombre","Máster/Doctorado",33,90,540,9,1.5,6,8,8,5
"14223","Mujer","Máster/Doctorado",34,60,600,10,1,0,7,7,5
"14224","Hombre","Primaria",48,50,420,7,0.83,0,10,6,5
"14225","Hombre",NA,53,45,90,1.5,0.75,3,5,10,5
"14226","Hombre","Grado Universitario",70,90,180,3,1.5,6,8,4,2
"14227","Mujer","Grado Universitario",NA,0,360,6,0,NA,3,10,4
"14228",NA,NA,NA,1,NA,NA,0.02,3,0,NA,NA
"14229","Mujer","Primaria",NA,0,NA,NA,0,0,0,0,3
"14230","Mujer","Grado Universitario",28,90,720,12,1.5,1,3,7,4
"14231","Hombre","Secundaria SUperior",47,1200,NA,NA,20,0,4,NA,5
"14232","Hombre","Máster/Doctorado",71,60,150,2.5,1,7,9,8,4
"14233","Mujer","Grado Universitario",NA,150,300,5,2.5,5,5,7,5
"14234","Hombre","Máster/Doctorado",68,120,240,4,2,6,8,9,4
"14235",NA,NA,NA,650,NA,NA,10.83,3,4,2,4
"14236","Mujer","Grado Universitario",35,25,540,9,0.42,3,6,9,5
"14237","Mujer","Máster/Doctorado",49,120,240,4,2,3,8,8,3
"14238",NA,NA,NA,0,NA,NA,0,0,1,8,4
"14239","Mujer","Máster/Doctorado",84,90,150,2.5,1.5,0,7,9,4
"14240","Hombre","Bachiller",26,90,180,3,1.5,0,6,2,5
"14241","Mujer","Grado Universitario",28,300,600,10,5,3,6,3,5
"14242","Hombre","Bachiller",37,0,NA,NA,0,3,9,10,4
"14243","Hombre",NA,NA,10,600,10,0.17,6,7,6,5
"14244","Mujer","Formación Profesional",53,120,NA,NA,2,1,6,5,4
"14245","Mujer","Grado Universitario",31,90,270,4.5,1.5,4,5,6,4
"14246",NA,NA,NA,NA,NA,NA,NA,NA,0,6,3
"14247","Mujer","Grado Universitario",22,60,720,12,1,0,10,9,4
"14248","Hombre","Secundaria SUperior",57,300,480,8,5,5,9,8,4
"14249","Mujer",NA,62,90,300,5,1.5,2,2,7,3
"14250","Hombre","Secundaria SUperior",17,60,600,10,1,0,0,7,5
"14251","Hombre","Bachiller",66,10,300,5,0.17,2,7,6,5
"14252","Mujer","Bachiller",21,90,120,2,1.5,0,5,10,4
"14253","Hombre","Máster/Doctorado",52,90,900,15,1.5,0,9,9,5
"14254","Hombre","Máster/Doctorado",61,120,180,3,2,2,8,6,5
"14255","Mujer","Secundaria SUperior",57,300,NA,NA,5,0,0,10,3
"14256","Mujer","Secundaria Inferior",17,240,240,4,4,0,0,8,5
"14257","Hombre","Formación Profesional",39,120,300,5,2,4,4,5,5
"14258","Hombre","Formación Profesional",20,150,NA,NA,2.5,7,10,9,5
"14259","Hombre","Formación Profesional",19,90,420,7,1.5,0,8,8,5
"14260","Mujer",NA,24,10,330,5.5,0.17,1,3,6,4
"14261","Hombre","Formación Profesional",78,120,180,3,2,0,8,8,4
"14262","Mujer","Bachiller",51,300,NA,NA,5,3,7,3,5
"14263","Hombre","Secundaria SUperior",43,NA,NA,NA,NA,0,0,8,4
"14264","Hombre","Formación Profesional",22,75,470,7.83,1.25,6,8,10,5
"14265","Mujer","Grado Universitario",NA,60,360,6,1,8,8,8,5
"14266","Hombre","Formación Profesional",58,10,NA,NA,0.17,0,8,10,4
"14267","Mujer","Grado Universitario",27,30,390,6.5,0.5,0,7,5,5
"14268","Mujer","Secundaria SUperior",52,20,1080,18,0.33,1,5,5,3
"14269","Hombre","Secundaria SUperior",25,90,150,2.5,1.5,0,3,7,5
"14270","Mujer","Bachiller",23,60,510,8.5,1,7,9,8,5
"14271","Hombre","Bachiller",25,0,NA,NA,0,0,0,5,3
"14272","Hombre","Grado Universitario",70,90,80,1.33,1.5,6,9,8,4
"14273","Mujer","Bachiller",67,20,30,0.5,0.33,0,2,9,4
"14274","Mujer","Bachiller",18,10,420,7,0.17,7,10,9,5
"14275","Mujer","Máster/Doctorado",42,120,120,2,2,0,6,8,3
"14276","Hombre","Secundaria Inferior",85,360,5,0.08,6,5,5,9,5
"14277","Mujer","Formación Profesional",45,60,120,2,1,6,6,8,5
"14278","Hombre",NA,22,120,465,7.75,2,2,7,6,5
"14279","Mujer","Secundaria SUperior",18,30,60,1,0.5,3,6,10,5
"14280","Mujer","Grado Universitario",NA,120,300,5,2,3,8,5,4
"14281","Hombre","Secundaria Inferior",69,360,0,0,6,1,6,10,3
"14282","Mujer","Máster/Doctorado",38,30,45,0.75,0.5,1,6,7,4
"14283",NA,NA,NA,NA,NA,NA,NA,3,8,8,3
"14284","Mujer","Grado Universitario",40,20,480,8,0.33,1,4,10,5
"14285","Hombre",NA,50,150,140,2.33,2.5,1,5,8,5
"14286","Mujer","Formación Profesional",66,120,60,1,2,7,10,8,3
"14287","Hombre","Secundaria SUperior",51,60,240,4,1,3,6,7,4
"14288","Hombre","Máster/Doctorado",45,120,180,3,2,4,7,7,5
"14289","Hombre","Secundaria SUperior",64,10,NA,NA,0.17,0,4,10,5
"14290","Mujer","Máster/Doctorado",32,325,NA,NA,5.42,5,7,5,5
"14291","Mujer","Secundaria SUperior",50,30,120,2,0.5,0,7,10,4
"14292",NA,NA,NA,30,30,0.5,0.5,2,2,10,4
"14293","Mujer","Secundaria SUperior",62,160,350,5.83,2.67,10,10,6,5
"14294","Mujer","Grado Universitario",32,30,300,5,0.5,1,4,10,5
"14295","Hombre","Máster/Doctorado",33,600,900,15,10,3,7,10,4
"14296","Hombre","Máster/Doctorado",47,10,600,10,0.17,2,7,7,3
"14297","Mujer","Máster/Doctorado",45,180,240,4,3,2,8,7,5
"14298","Hombre","Máster/Doctorado",50,90,480,8,1.5,6,8,10,5
"14299","Hombre","Grado Universitario",68,30,960,16,0.5,5,8,9,5
"14300","Mujer",NA,32,150,210,3.5,2.5,0,3,5,4
"14301","Mujer","Máster/Doctorado",31,30,180,3,0.5,1,7,9,5
"14302","Mujer","Grado Universitario",31,5,600,10,0.08,2,5,7,4
"14303","Mujer","Bachiller",22,120,NA,NA,2,1,10,9,5
"14304","Hombre","Secundaria SUperior",34,90,NA,NA,1.5,0,3,8,3
"14305",NA,NA,NA,180,300,5,3,3,9,7,4
"14306","Mujer","Bachiller",23,2,360,6,0.03,0,2,10,5
"14307","Hombre","Grado Universitario",24,90,120,2,1.5,6,8,7,4
"14308","Mujer","Grado Universitario",31,119,239,3.98,1.98,0,5,10,5
"14309","Mujer","Grado Universitario",38,60,720,12,1,2,8,8,5
"14310",NA,NA,NA,10,380,6.33,0.17,4,6,5,4
"14311","Mujer","Máster/Doctorado",40,90,NA,NA,1.5,4,7,8,5
"14312",NA,NA,NA,120,720,12,2,8,8,NA,NA
"14313","Hombre","Grado Universitario",47,60,360,6,1,1,10,3,5
"14314","Mujer","Formación Profesional",26,60,600,10,1,5,5,5,5
"14315","Hombre","Grado Universitario",30,20,600,10,0.33,3,7,8,5
"14316","Mujer","Máster/Doctorado",56,10,600,10,0.17,4,2,9,3
"14317","Hombre","Máster/Doctorado",55,120,180,3,2,1,10,4,4
"14318","Hombre",NA,21,90,420,7,1.5,2,6,7,5
"14319","Hombre","Formación Profesional",53,90,300,5,1.5,1,1,7,5
"14320","Mujer",NA,64,60,480,8,1,1,7,7,4
"14321","Mujer","Grado Universitario",76,300,120,2,5,4,5,6,4
"14322","Mujer","Secundaria SUperior",22,30,210,3.5,0.5,2,3,8,5
"14323","Mujer","Grado Universitario",23,30,480,8,0.5,0,0,6,3
"14324","Mujer","Grado Universitario",45,120,120,2,2,2,8,4,5
"14325","Hombre","Formación Profesional",55,90,240,4,1.5,1,8,7,5
"14326","Mujer","Grado Universitario",35,0,305,5.08,0,1,5,1,4
"14327","Hombre","Secundaria SUperior",24,30,600,10,0.5,3,7,9,5
"14328","Hombre","Grado Universitario",48,120,180,3,2,7,9,8,4
"14329","Hombre",NA,29,120,480,8,2,0,5,9,5
"14330","Mujer","Grado Universitario",60,30,720,12,0.5,1,7,8,4
"14331","Mujer","Grado Universitario",49,150,90,1.5,2.5,1,5,9,4
"14332","Hombre","Máster/Doctorado",47,180,300,5,3,5,10,10,5
"14333","Hombre","Formación Profesional",26,180,180,3,3,1,10,7,4
"14334",NA,"Formación Profesional",NA,10,NA,NA,0.17,3,0,8,4
"14335","Hombre","Secundaria Inferior",41,180,NA,NA,3,0,0,5,3
"14336","Mujer","Bachiller",77,140,70,1.17,2.33,5,5,7,3
"14337","Hombre","Grado Universitario",34,60,300,5,1,2,10,4,5
"14338","Mujer","Secundaria SUperior",48,90,270,4.5,1.5,0,9,6,4
"14339","Hombre","Secundaria Inferior",18,0,130,2.17,0,0,7,10,5
"14340","Mujer","Grado Universitario",27,150,NA,NA,2.5,5,4,6,4
"14341","Hombre",NA,28,300,600,10,5,2,10,6,4
"14342","Hombre","Secundaria SUperior",33,10,40,0.67,0.17,0,7,10,5
"14343",NA,NA,NA,120,480,8,2,2,2,NA,NA
"14344","Mujer","Grado Universitario",26,180,210,3.5,3,0,2,4,5
"14345","Mujer","Grado Universitario",NA,210,930,15.5,3.5,1,5,7,4
"14346","Hombre","Grado Universitario",76,120,600,10,2,2,10,9,4
"14347","Mujer","Secundaria Inferior",74,90,NA,NA,1.5,5,10,9,4
"14348","Hombre","Máster/Doctorado",28,60,NA,NA,1,3,1,5,3
"14349","Hombre","Máster/Doctorado",60,60,600,10,1,2,9,10,4
"14350","Mujer","Grado Universitario",29,75,60,1,1.25,3,5,8,4
"14351","Mujer","Primaria",70,30,NA,NA,0.5,3,4,5,4
"14352","Hombre","Grado Universitario",55,50,600,10,0.83,3,10,8,5
"14353","Mujer","Máster/Doctorado",46,NA,NA,NA,NA,3,4,10,4
"14354","Mujer","Máster/Doctorado",26,119,600,10,1.98,4,8,10,5
"14355","Mujer","Formación Profesional",30,10,NA,NA,0.17,0,4,6,3
"14356","Mujer",NA,26,120,660,11,2,2,6,7,5
"14357","Mujer","Bachiller",17,5,420,7,0.08,3,2,7,5
"14358","Hombre","Formación Profesional",70,NA,NA,NA,NA,1,8,8,5
"14359","Hombre","Grado Universitario",34,150,600,10,2.5,0,9,7,5
"14360","Mujer","Grado Universitario",26,120,360,6,2,0,0,8,5
"14361","Mujer","Bachiller",22,30,720,12,0.5,3,9,6,5
"14362","Hombre","Grado Universitario",65,80,790,13.17,1.33,3,6,6,4
"14363","Mujer","Bachiller",20,5,NA,NA,0.08,1,7,8,4
"14364","Mujer","Secundaria SUperior",47,120,240,4,2,2,9,7,4
"14365","Mujer","Secundaria Inferior",65,5,120,2,0.08,0,0,6,3
"14366","Mujer","Grado Universitario",30,150,450,7.5,2.5,2,1,7,3
"14367","Mujer","Formación Profesional",71,270,NA,NA,4.5,6,9,8,3
"14368","Hombre","Secundaria SUperior",30,5,730,12.17,0.08,0,6,0,1
"14369","Mujer","Formación Profesional",40,240,NA,NA,4,0,2,10,5
"14370","Hombre",NA,19,150,10,0.17,2.5,4,3,6,3
"14371",NA,NA,NA,20,NA,NA,0.33,8,9,8,5
"14372","Hombre","Formación Profesional",27,30,300,5,0.5,1,8,8,3
"14373","Mujer","Bachiller",31,5,120,2,0.08,3,6,8,4
"14374","Hombre","Máster/Doctorado",36,120,NA,NA,2,5,5,7,3
"14375","Hombre","Formación Profesional",48,120,240,4,2,0,7,6,5
"14376","Hombre","Formación Profesional",70,30,120,2,0.5,5,8,10,5
"14377","Hombre","Formación Profesional",75,120,120,2,2,0,9,7,2
"14378","Hombre","Formación Profesional",62,30,NA,NA,0.5,3,5,7,4
"14379","Mujer","Grado Universitario",26,90,240,4,1.5,1,NA,8,5
"14380","Mujer","Formación Profesional",47,65,NA,NA,1.08,5,9,9,4
"14381","Mujer","Secundaria SUperior",46,0,NA,NA,0,1,1,10,4
"14382","Mujer","Bachiller",66,60,300,5,1,0,NA,10,5
"14383","Mujer","Formación Profesional",31,90,270,4.5,1.5,0,7,9,5
"14384","Mujer","Formación Profesional",51,20,540,9,0.33,1,4,10,4
"14385","Mujer","Máster/Doctorado",41,300,840,14,5,0,10,8,5
"14386","Mujer","Bachiller",57,30,30,0.5,0.5,0,10,9,5
"14387","Mujer",NA,16,119,298,4.97,1.98,8,7,5,4
"14388","Hombre","Bachiller",NA,NA,NA,NA,NA,6,5,5,2
"14389","Hombre","Bachiller",20,100,300,5,1.67,7,6,7,5
"14390","Mujer","Bachiller",21,60,540,9,1,0,10,10,3
"14391","Mujer","Formación Profesional",44,2,120,2,0.03,2,6,10,5
"14392","Mujer","Secundaria SUperior",26,3,NA,NA,0.05,0,0,10,5
"14393",NA,NA,NA,90,NA,NA,1.5,0,0,10,5
"14394","Mujer","Secundaria Inferior",51,60,NA,NA,1,0,0,0,3
"14395","Mujer","Grado Universitario",32,60,360,6,1,0,4,9,4
"14396",NA,NA,NA,15,120,2,0.25,0,5,9,3
"14397","Mujer","Formación Profesional",57,5,120,2,0.08,2,8,8,4
"14398","Mujer","Bachiller",17,3,660,11,0.05,2,4,10,4
"14399","Hombre","Formación Profesional",34,150,450,7.5,2.5,3,8,6,5
"14400","Hombre","Máster/Doctorado",35,10,780,13,0.17,0,8,9,4
"14401","Hombre","Máster/Doctorado",31,90,210,3.5,1.5,2,8,8,5
"14402","Hombre","Secundaria SUperior",32,32,300,5,0.53,3,6,9,4
"14403","Mujer","Bachiller",30,20,270,4.5,0.33,0,5,10,5
"14404","Hombre","Grado Universitario",37,90,960,16,1.5,1,8,8,4
"14405","Mujer","Máster/Doctorado",39,60,120,2,1,3,5,7,4
"14406","Mujer","Formación Profesional",24,180,360,6,3,0,9,6,4
"14407","Hombre","Formación Profesional",25,10,240,4,0.17,3,4,6,4
"14408",NA,NA,NA,60,120,2,1,6,10,NA,NA
"14409","Mujer","Secundaria Inferior",42,30,480,8,0.5,0,7,7,4
"14410","Mujer",NA,17,70,320,5.33,1.17,5,7,10,4
"14411","Hombre","Bachiller",25,10,480,8,0.17,1,7,7,4
"14412","Hombre","Secundaria SUperior",22,120,480,8,2,0,10,8,5
"14413","Hombre","Secundaria SUperior",41,120,240,4,2,1,8,9,4
"14414","Mujer","Bachiller",35,30,480,8,0.5,5,6,10,5
"14415","Mujer","Grado Universitario",28,60,150,2.5,1,4,6,3,3
"14416","Mujer","Grado Universitario",20,120,180,3,2,1,4,7,5
"14417","Mujer","Grado Universitario",61,5,NA,NA,0.08,0,2,10,5
"14418","Mujer","Máster/Doctorado",29,120,NA,NA,2,5,9,9,5
"14419","Hombre","Grado Universitario",78,120,90,1.5,2,2,7,9,4
"14420","Hombre",NA,17,0,600,10,0,6,8,6,5
"14421",NA,NA,NA,20,450,7.5,0.33,1,7,7,5
"14422",NA,NA,NA,180,120,2,3,0,10,NA,3
"14423","Hombre","Secundaria SUperior",71,120,NA,NA,2,0,1,6,3
"14424","Mujer","Máster/Doctorado",29,240,NA,NA,4,4,5,4,5
"14425","Hombre","Grado Universitario",56,240,300,5,4,0,10,9,5
"14426","Hombre","Primaria",70,210,NA,NA,3.5,8,8,6,2
"14427","Hombre","Secundaria SUperior",39,330,450,7.5,5.5,0,9,5,2
"14428","Hombre",NA,29,30,720,12,0.5,0,8,9,5
"14429","Hombre","Máster/Doctorado",30,60,900,15,1,2,8,6,4
"14430",NA,NA,NA,10,480,8,0.17,2,1,7,3
"14431","Mujer","Grado Universitario",24,20,240,4,0.33,0,0,6,5
"14432","Mujer","Máster/Doctorado",34,10,180,3,0.17,2,5,9,4
"14433","Hombre","Máster/Doctorado",78,180,360,6,3,4,10,6,3
"14434","Mujer","Máster/Doctorado",51,0,780,13,0,2,7,10,5
"14435","Hombre","Máster/Doctorado",56,60,180,3,1,3,8,8,4
"14436","Hombre","Grado Universitario",60,120,120,2,2,3,8,5,3
"14437","Hombre","Máster/Doctorado",75,60,300,5,1,1,10,10,5
"14438","Hombre","Formación Profesional",43,30,720,12,0.5,1,10,6,5
"14439","Mujer",NA,44,NA,NA,NA,NA,4,3,6,4
"14440","Hombre","Grado Universitario",23,60,360,6,1,2,8,9,4
"14441","Mujer","Máster/Doctorado",41,5,180,3,0.08,0,7,8,5
"14442","Hombre","Bachiller",26,120,600,10,2,0,10,10,5
"14443","Hombre","Formación Profesional",27,60,600,10,1,0,5,8,5
"14444","Mujer",NA,21,15,NA,NA,0.25,NA,9,5,4
"14445","Mujer","Máster/Doctorado",61,120,240,4,2,1,9,9,5
"14446","Mujer","Formación Profesional",31,10,300,5,0.17,3,7,7,5
"14447","Mujer","Formación Profesional",20,240,NA,NA,4,0,3,10,5
"14448","Mujer","Máster/Doctorado",58,90,150,2.5,1.5,0,9,3,2
"14449","Hombre","Máster/Doctorado",40,120,480,8,2,4,8,8,4
"14450","Hombre","Formación Profesional",26,10,960,16,0.17,0,1,0,2
"14451","Mujer","Grado Universitario",51,60,360,6,1,2,9,9,5
"14452","Mujer","Grado Universitario",24,150,960,16,2.5,0,3,7,5
"14453","Hombre","Secundaria Inferior",17,90,NA,NA,1.5,6,6,4,5
"14454","Mujer","Formación Profesional",24,75,313,5.22,1.25,3,0,7,5
"14455","Hombre","Formación Profesional",38,5,900,15,0.08,0,8,5,3
"14456","Hombre","Grado Universitario",29,60,120,2,1,10,10,8,5
"14457","Hombre","Formación Profesional",36,0,120,2,0,0,0,6,5
"14458","Hombre","Máster/Doctorado",49,20,NA,NA,0.33,0,8,7,4
"14459","Mujer","Máster/Doctorado",48,180,120,2,3,3,7,8,4
"14460","Mujer","Formación Profesional",37,15,240,4,0.25,1,5,10,5
"14461","Hombre","Secundaria SUperior",37,60,480,8,1,1,3,9,4
"14462","Hombre","Grado Universitario",64,150,300,5,2.5,1,7,7,3
"14463","Mujer","Formación Profesional",42,60,120,2,1,5,10,10,4
"14464","Hombre","Máster/Doctorado",40,110,90,1.5,1.83,8,7,8,4
"14465","Hombre",NA,35,30,240,4,0.5,0,0,8,5
"14466","Mujer","Secundaria SUperior",29,150,479,7.98,2.5,6,6,7,3
"14467","Mujer","Máster/Doctorado",50,150,480,8,2.5,7,7,8,5
"14468","Mujer","Secundaria Inferior",18,0,305,5.08,0,0,5,8,5
"14469","Hombre","Bachiller",59,150,120,2,2.5,0,6,4,4
"14470","Hombre","Secundaria SUperior",60,240,300,5,4,2,1,4,3
"14471","Mujer","Formación Profesional",41,60,480,8,1,5,5,5,4
"14472","Mujer","Bachiller",31,50,59,0.98,0.83,1,0,10,5
"14473","Mujer","Secundaria SUperior",17,30,270,4.5,0.5,0,8,9,5
"14474",NA,NA,NA,299,NA,NA,4.98,5,5,5,4
"14475","Mujer","Secundaria SUperior",51,120,NA,NA,2,1,2,7,5
"14476","Hombre","Grado Universitario",52,60,480,8,1,0,3,3,4
"14477","Hombre","Secundaria Inferior",18,30,180,3,0.5,5,7,8,5
"14478","Mujer","Grado Universitario",32,60,1320,22,1,0,10,10,5
"14479","Mujer","Bachiller",22,240,210,3.5,4,0,6,8,4
"14480","Mujer","Bachiller",20,45,120,2,0.75,10,10,10,3
"14481","Mujer","Secundaria SUperior",65,120,NA,NA,2,0,5,2,2
"14482","Hombre","Máster/Doctorado",41,60,480,8,1,5,9,8,5
"14483",NA,NA,NA,60,480,8,1,0,5,7,4
"14484","Mujer","Bachiller",35,30,330,5.5,0.5,0,6,5,5
"14485","Mujer","Máster/Doctorado",32,150,NA,NA,2.5,0,4,8,5
"14486","Hombre","Bachiller",19,30,300,5,0.5,5,5,8,4
"14487","Hombre","Formación Profesional",24,10,540,9,0.17,1,9,8,4
"14488","Mujer","Bachiller",40,60,300,5,1,3,10,10,5
"14489",NA,NA,NA,90,510,8.5,1.5,3,9,NA,NA
"14490","Mujer","Bachiller",48,120,420,7,2,7,9,7,3
"14491","Mujer","Secundaria Inferior",17,10,450,7.5,0.17,4,9,8,5
"14492","Mujer","Bachiller",20,70,NA,NA,1.17,1,9,6,3
"14493","Mujer","Secundaria Inferior",66,317,360,6,5.28,5,7,8,4
"14494","Mujer","Secundaria Inferior",17,0,210,3.5,0,NA,5,8,4
"14495","Hombre","Formación Profesional",41,30,630,10.5,0.5,3,6,10,5
"14496","Hombre",NA,67,60,90,1.5,1,3,8,6,3
"14497","Hombre",NA,NA,100,NA,NA,1.67,4,6,5,5
"14498","Mujer","Formación Profesional",66,30,600,10,0.5,4,6,7,3
"14499",NA,NA,NA,60,600,10,1,0,4,NA,NA
"14500","Hombre","Grado Universitario",70,0,180,3,0,0,0,8,5
"14501","Hombre","Máster/Doctorado",44,60,240,4,1,1,10,7,5
"14502","Hombre","Secundaria SUperior",72,90,NA,NA,1.5,7,10,8,5
"14503",NA,NA,NA,30,900,15,0.5,3,6,7,3
"14504","Hombre","Secundaria Inferior",55,480,300,5,8,0,9,7,5
"14505","Hombre","Grado Universitario",39,270,420,7,4.5,4,7,9,5
"14506","Hombre","Grado Universitario",33,20,390,6.5,0.33,2,4,7,4
"14507",NA,NA,NA,60,840,14,1,6,8,9,NA
"14508",NA,NA,NA,15,600,10,0.25,5,10,8,4
"14509","Mujer","Máster/Doctorado",41,15,120,2,0.25,4,7,7,4
"14510","Mujer","Bachiller",19,60,900,15,1,0,9,4,4
"14511",NA,NA,NA,30,60,1,0.5,3,8,9,5
"14512","Mujer","Grado Universitario",41,180,300,5,3,6,10,8,5
"14513",NA,NA,NA,NA,NA,NA,NA,4,5,4,4
"14514","Hombre","Máster/Doctorado",37,60,NA,NA,1,1,3,8,4
"14515","Mujer","Bachiller",19,150,150,2.5,2.5,6,5,5,5
"14516","Hombre","Grado Universitario",34,150,210,3.5,2.5,1,8,8,5
"14517","Hombre","Grado Universitario",NA,NA,NA,NA,NA,0,5,3,3
"14518","Mujer","Grado Universitario",35,120,120,2,2,5,7,6,5
"14519","Mujer","Bachiller",21,70,360,6,1.17,6,6,8,4
"14520","Mujer","Secundaria SUperior",53,10,NA,NA,0.17,5,NA,10,5
"14521","Hombre","Máster/Doctorado",71,60,240,4,1,0,2,10,5
"14522","Hombre","Grado Universitario",30,15,840,14,0.25,1,7,3,3
"14523","Hombre","Grado Universitario",48,30,NA,NA,0.5,0,9,7,5
"14524","Hombre","Máster/Doctorado",48,150,240,4,2.5,2,6,8,5
"14525","Mujer","Secundaria SUperior",53,0,NA,NA,0,0,0,8,5
"14526","Hombre","Bachiller",24,10,90,1.5,0.17,3,5,5,4
"14527","Mujer","Grado Universitario",46,180,360,6,3,2,8,8,4
"14528","Hombre","Secundaria SUperior",17,60,180,3,1,1,3,5,5
"14529","Mujer","Formación Profesional",20,15,NA,NA,0.25,2,6,4,2
"14530","Mujer","Formación Profesional",50,10,420,7,0.17,5,8,7,4
"14531","Mujer","Grado Universitario",54,360,240,4,6,2,9,9,5
"14532","Mujer","Bachiller",35,NA,300,5,NA,2,6,8,5
"14533","Mujer",NA,33,120,450,7.5,2,1,4,2,2
"14534","Hombre","Formación Profesional",70,480,180,3,8,4,8,6,3
"14535","Mujer","Secundaria SUperior",90,30,120,2,0.5,1,10,10,4
"14536","Mujer","Grado Universitario",NA,30,NA,NA,0.5,3,5,7,5
"14537","Hombre","Primaria",37,95,465,7.75,1.58,3,7,6,4
"14538","Mujer","Bachiller",51,150,60,1,2.5,0,1,4,4
"14539","Mujer","Formación Profesional",60,90,120,2,1.5,7,8,9,3
"14540","Hombre","Formación Profesional",34,180,NA,NA,3,0,5,4,4
"14541","Mujer","Bachiller",39,720,600,10,12,4,8,8,4
"14542","Hombre","Bachiller",29,70,427,7.12,1.17,4,6,7,4
"14543","Hombre","Bachiller",21,30,1020,17,0.5,0,9,7,4
"14544",NA,NA,NA,60,NA,NA,1,NA,NA,4,3
"14545","Hombre","Secundaria SUperior",28,240,780,13,4,2,8,7,5
"14546","Hombre","Formación Profesional",84,20,120,2,0.33,2,7,8,4
"14547","Hombre","Grado Universitario",55,90,840,14,1.5,2,7,8,5
"14548","Hombre","Formación Profesional",21,210,1010,16.83,3.5,5,5,7,4
"14549","Mujer","Formación Profesional",48,30,600,10,0.5,1,8,9,5
"14550","Mujer","Secundaria SUperior",36,60,120,2,1,0,10,1,3
